Unnamed: 0,invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total_price,hour,day_name,month,shift,revenue,profit
0,1,WALM003,San Antonio,Health and beauty,74.69,7.0,2019-01-05,2026-01-09 13:08:00,Ewallet,9.1,0.48,522.8299999999999,13,Saturday,1,Afternoon,522.8299999999999,250.95839999999995
1,2,WALM048,Harlingen,Electronic accessories,15.28,5.0,2019-03-08,2026-01-09 10:29:00,Cash,9.6,0.48,76.39999999999999,10,Friday,3,Morning,76.39999999999999,36.672
2,3,WALM067,Haltom City,Home and lifestyle,46.33,7.0,2019-03-03,2026-01-09 13:23:00,Credit card,7.4,0.33,324.31,13,Sunday,3,Afternoon,324.31,107.0223
3,4,WALM064,Bedford,Health and beauty,58.22,8.0,2019-01-27,2026-01-09 20:33:00,Ewallet,8.4,0.33,465.76,20,Sunday,1,Evening,465.76,153.70080000000002
4,5,WALM013,Irving,Sports and travel,86.31,7.0,2019-02-08,2026-01-09 10:37:00,Ewallet,5.3,0.48,604.1700000000001,10,Friday,2,Morning,604.1700000000001,290.0016
5,6,WALM026,Denton,Electronic accessories,85.39,7.0,2019-03-25,2026-01-09 18:30:00,Ewallet,4.1,0.48,597.73,18,Monday,3,Evening,597.73,286.9104
6,7,WALM088,Cleburne,Electronic accessories,68.84,6.0,2019-02-25,2026-01-09 14:36:00,Ewallet,5.8,0.33,413.04,14,Monday,2,Afternoon,413.04,136.3032
7,8,WALM100,Canyon,Home and lifestyle,73.56,10.0,2019-02-24,2026-01-09 11:38:00,Ewallet,8.0,0.18,735.6,11,Sunday,2,Morning,735.6,132.408
8,9,WALM066,Grapevine,Health and beauty,36.26,2.0,2019-01-10,2026-01-09 17:15:00,Credit card,7.2,0.33,72.52,17,Thursday,1,Afternoon,72.52,23.9316
9,10,WALM065,Texas City,Food and beverages,54.84,3.0,2019-02-20,2026-01-09 13:27:00,Credit card,5.9,0.33,164.52,13,Wednesday,2,Afternoon,164.52,54.2916
10,11,WALM013,Irving,Fashion accessories,14.48,4.0,2019-02-06,2026-01-09 18:07:00,Ewallet,4.5,0.48,57.92,18,Wednesday,2,Evening,57.92,27.8016
11,12,WALM035,San Angelo,Electronic accessories,25.51,4.0,2019-03-09,2026-01-09 17:03:00,Cash,6.8,0.48,102.04,17,Saturday,3,Afternoon,102.04,48.9792
12,13,WALM027,Abilene,Electronic accessories,46.95,5.0,2019-02-12,2026-01-09 10:25:00,Ewallet,7.1,0.48,234.75,10,Tuesday,2,Morning,234.75,112.67999999999999
13,14,WALM035,San Angelo,Food and beverages,43.19,10.0,2019-02-07,2026-01-09 16:48:00,Ewallet,8.2,0.48,431.9,16,Thursday,2,Afternoon,431.9,207.31199999999998
14,15,WALM031,Lewisville,Health and beauty,71.38,10.0,2019-03-29,2026-01-09 19:21:00,Cash,5.7,0.48,713.8,19,Friday,3,Evening,713.8,342.62399999999997
15,16,WALM008,Corpus Christi,Sports and travel,93.72,6.0,2019-01-15,2026-01-09 16:19:00,Cash,4.5,0.48,562.3199999999999,16,Tuesday,1,Afternoon,562.3199999999999,269.9136
16,17,WALM029,Round Rock,Health and beauty,68.93,7.0,2019-03-11,2026-01-09 11:03:00,Credit card,4.6,0.48,482.5100000000001,11,Monday,3,Morning,482.51000000000005,231.6048
17,18,WALM061,Cedar Park,Sports and travel,72.61,6.0,2019-01-01,2026-01-09 10:39:00,Credit card,6.9,0.33,435.66,10,Tuesday,1,Morning,435.65999999999997,143.7678
18,19,WALM053,Conroe,Food and beverages,54.67,3.0,2019-01-21,2026-01-09 18:00:00,Credit card,8.6,0.57,164.01,18,Monday,1,Evening,164.01,93.48569999999998
19,20,WALM013,Irving,Home and lifestyle,40.3,2.0,2019-03-11,2026-01-09 15:30:00,Ewallet,4.4,0.48,80.6,15,Monday,3,Afternoon,80.6,38.687999999999995
20,21,WALM044,Pharr,Electronic accessories,86.04,5.0,2019-02-25,2026-01-09 11:24:00,Ewallet,4.8,0.48,430.2000000000001,11,Monday,2,Morning,430.20000000000005,206.496
21,22,WALM088,Cleburne,Health and beauty,87.98,3.0,2019-03-05,2026-01-09 10:40:00,Ewallet,5.1,0.33,263.94,10,Tuesday,3,Morning,263.94,87.1002
22,23,WALM083,Farmers Branch,Home and lifestyle,33.2,2.0,2019-03-15,2026-01-09 12:20:00,Credit card,4.4,0.33,66.4,12,Friday,3,Afternoon,66.4,21.912000000000003
23,24,WALM067,Haltom City,Electronic accessories,34.56,5.0,2019-02-17,2026-01-09 11:15:00,Ewallet,9.9,0.33,172.8,11,Sunday,2,Morning,172.8,57.02400000000001
24,25,WALM023,Midland,Sports and travel,88.63,3.0,2019-03-02,2026-01-09 17:36:00,Ewallet,6.0,0.48,265.89,17,Saturday,3,Afternoon,265.89,127.62719999999999
25,26,WALM001,Houston,Home and lifestyle,52.59,8.0,2019-03-22,2026-01-09 19:20:00,Credit card,8.5,0.36,420.72,19,Friday,3,Evening,420.72,151.4592
26,27,WALM072,Lancaster,Fashion accessories,33.52,1.0,2019-02-08,2026-01-09 15:31:00,Cash,6.7,0.33,33.52,15,Friday,2,Afternoon,33.52,11.061600000000002
27,28,WALM046,Temple,Fashion accessories,87.67,2.0,2019-03-10,2026-01-09 12:17:00,Credit card,7.7,0.48,175.34,12,Sunday,3,Afternoon,175.34,84.1632
28,29,WALM012,Garland,Food and beverages,88.36,5.0,2019-01-25,2026-01-09 19:48:00,Cash,9.6,0.48,441.8,19,Friday,1,Evening,441.8,212.064
29,30,WALM075,San Marcos,Health and beauty,24.89,9.0,2019-03-15,2026-01-09 15:36:00,Cash,7.4,0.33,224.01,15,Friday,3,Afternoon,224.01,73.9233
30,31,WALM076,Huntsville,Fashion accessories,94.13,5.0,2019-02-25,2026-01-09 19:39:00,Credit card,4.8,0.33,470.65,19,Monday,2,Evening,470.65,155.3145
31,32,WALM098,Mineral Wells,Sports and travel,78.07,9.0,2019-01-28,2026-01-09 12:43:00,Cash,4.5,0.18,702.6299999999999,12,Monday,1,Afternoon,702.6299999999999,126.47339999999997
32,33,WALM021,McAllen,Sports and travel,83.78,8.0,2019-01-10,2026-01-09 14:49:00,Cash,5.1,0.48,670.24,14,Thursday,1,Afternoon,670.24,321.7152
33,34,WALM096,Eagle Pass,Health and beauty,96.58,2.0,2019-03-15,2026-01-09 10:12:00,Credit card,5.1,0.18,193.16,10,Friday,3,Morning,193.16,34.7688
34,35,WALM022,Mesquite,Food and beverages,99.42,4.0,2019-02-06,2026-01-09 10:42:00,Ewallet,7.5,0.48,397.68,10,Wednesday,2,Morning,397.68,190.8864
35,36,WALM095,Big Spring,Sports and travel,68.12,1.0,2019-01-07,2026-01-09 12:28:00,Ewallet,6.8,0.33,68.12,12,Monday,1,Afternoon,68.12,22.4796
36,37,WALM041,Mission,Sports and travel,62.62,5.0,2019-03-10,2026-01-09 19:15:00,Ewallet,7.0,0.48,313.09999999999997,19,Sunday,3,Evening,313.09999999999997,150.28799999999998
37,38,WALM070,Hurst,Electronic accessories,60.88,9.0,2019-01-15,2026-01-09 17:17:00,Ewallet,4.7,0.33,547.9200000000001,17,Tuesday,1,Afternoon,547.9200000000001,180.81360000000004
38,39,WALM070,Hurst,Health and beauty,54.92,8.0,2019-03-23,2026-01-09 13:24:00,Ewallet,7.6,0.33,439.36,13,Saturday,3,Afternoon,439.36,144.9888
39,40,WALM030,Richardson,Home and lifestyle,30.12,8.0,2019-03-03,2026-01-09 13:01:00,Cash,7.7,0.48,240.96,13,Sunday,3,Afternoon,240.96,115.6608
40,41,WALM033,Pearland,Home and lifestyle,86.72,1.0,2019-01-17,2026-01-09 18:45:00,Ewallet,7.9,0.48,86.72,18,Thursday,1,Evening,86.72,41.6256
41,42,WALM088,Cleburne,Home and lifestyle,56.11,2.0,2019-02-02,2026-01-09 10:11:00,Cash,6.3,0.33,112.22,10,Saturday,2,Morning,112.22,37.0326
42,43,WALM079,La Porte,Sports and travel,69.12,6.0,2019-02-08,2026-01-09 13:03:00,Cash,5.6,0.33,414.72,13,Friday,2,Afternoon,414.72,136.85760000000002
